"LOCATION","Country","INDICATOR","Indicator","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","GDPCPC","Gross domestic product (GDP), current PPPs, billions US dollars","2000","2000",,,"0","Units",,,537.761328160482,,
"AUS","Australia","GDPCPC","Gross domestic product (GDP), current PPPs, billions US dollars","2001","2001",,,"0","Units",,,567.709024863338,,
"AUS","Australia","GDPCPC","Gross domestic product (GDP), current PPPs, billions US dollars","2002","2002",,,"0","Units",,,599.301219985169,,
"AUS","Australia","GDPCPC","Gross domestic product (GDP), current PPPs, billions US dollars","2003","2003",,,"0","Units",,,635.085071220724,,
"AUS","Australia","GDPCPC","Gross domestic product (GDP), current PPPs, billions US dollars","2004","2004",,,"0","Units",,,675.451920046618,,
"AUS","Australia","GDPCPC","Gross domestic product (GDP), current PPPs, billions US dollars","2005","2005",,,"0","Units",,,717.70507915202,,
"AUS","Australia","GDPCPC","Gross domestic product (GDP), current PPPs, billions US dollars","2006","2006",,,"0","Units",,,774.327431489117,,
"AUS","Australia","GDPCPC","Gross domestic product (GDP), current PPPs, billions US dollars","2007","2007",,,"0","Units",,,825.040730146018,,
"AUS","Australia","GDPCPC","Gross domestic product (GDP), current PPPs, billions US dollars","2008","2008",,,"0","Units",,,851.983129748954,,
"AUS","Australia","GDPCPC","Gross domestic product (GDP), current PPPs, billions US dollars","2009","2009",,,"0","Units",,,902.670511552686,,
"AUS","Australia","GDPCPC","Gross domestic product (GDP), current PPPs, billions US dollars","2010","2010",,,"0","Units",,,943.228420474209,,
"AUS","Australia","GDPCPC","Gross domestic product (GDP), current PPPs, billions US dollars","2011","2011",,,"0","Units",,,992.327379797454,,
"AUS","Australia","GDPCPC","Gross domestic product (GDP), current PPPs, billions US dollars","2012","2012",,,"0","Units",,,997.527346609067,,
"AUS","Australia","GDPCPC","Gross domestic product (GDP), current PPPs, billions US dollars","2013","2013",,,"0","Units",,,1104.62613490595,,
"AUS","Australia","GDPCPC","Gross domestic product (GDP), current PPPs, billions US dollars","2014","2014",,,"0","Units",,,1118.35026699353,,
"AUS","Australia","GDPCPC","Gross domestic product (GDP), current PPPs, billions US dollars","2015","2015",,,"0","Units",,,1127.71254231014,,
"AUS","Australia","GDPCPC","Gross domestic product (GDP), current PPPs, billions US dollars","2016","2016",,,"0","Units",,,1215.89768611599,,
"AUS","Australia","GDPCPC","Gross domestic product (GDP), current PPPs, billions US dollars","2017","2017",,,"0","Units",,,1279.14739145856,,
"AUS","Australia","GDPCPC","Gross domestic product (GDP), current PPPs, billions US dollars","2018","2018",,,"0","Units",,,1353.22000180905,"E","Estimated value"
"AUS","Australia","TES13S","Total expenditure of general government, percentage of GDP","2000","2000",,,"0","Units",,,36.5896242337597,,
"AUS","Australia","TES13S","Total expenditure of general government, percentage of GDP","2001","2001",,,"0","Units",,,36.1190475874806,,
"AUS","Australia","TES13S","Total expenditure of general government, percentage of GDP","2002","2002",,,"0","Units",,,35.1534408709549,,
"AUS","Australia","TES13S","Total expenditure of general government, percentage of GDP","2003","2003",,,"0","Units",,,35.2803996102383,,
"AUS","Australia","TES13S","Total expenditure of general government, percentage of GDP","2004","2004",,,"0","Units",,,35.2657444780896,,
