"name","iso","year","estimate","rounded","indicator","value"
"World",NA,1985,"lower bound (80% UI)",FALSE,"mmr",402.243748539916
"Southern Asia",NA,1985,"lower bound (80% UI)",FALSE,"mmr",521.345246443157
"Other",NA,1985,"lower bound (80% UI)",FALSE,"mmr",30.4440387270849
"Northern Africa",NA,1985,"lower bound (80% UI)",FALSE,"mmr",189.281979298737
"Sub-Saharan Africa",NA,1985,"lower bound (80% UI)",FALSE,"mmr",960.844085674471
"Latin America",NA,1985,"lower bound (80% UI)",FALSE,"mmr",139.847043615826
"Caucasus and Central Asia",NA,1985,"lower bound (80% UI)",FALSE,"mmr",83.8879885530041
"Caribbean",NA,1985,"lower bound (80% UI)",FALSE,"mmr",254.021413085696
"Western Asia",NA,1985,"lower bound (80% UI)",FALSE,"mmr",160.706833187257
"South-eastern Asia",NA,1985,"lower bound (80% UI)",FALSE,"mmr",367.706682693048
"Eastern Asia",NA,1985,"lower bound (80% UI)",FALSE,"mmr",97.0568858207845
"Oceania",NA,1985,"lower bound (80% UI)",FALSE,"mmr",260.674942777139
"World",NA,1985,"lower bound (80% UI)",TRUE,"mmr",402
"Southern Asia",NA,1985,"lower bound (80% UI)",TRUE,"mmr",521
"Other",NA,1985,"lower bound (80% UI)",TRUE,"mmr",30
"Northern Africa",NA,1985,"lower bound (80% UI)",TRUE,"mmr",189
"Sub-Saharan Africa",NA,1985,"lower bound (80% UI)",TRUE,"mmr",961
"Latin America",NA,1985,"lower bound (80% UI)",TRUE,"mmr",140
"Caucasus and Central Asia",NA,1985,"lower bound (80% UI)",TRUE,"mmr",84
"Caribbean",NA,1985,"lower bound (80% UI)",TRUE,"mmr",254
"Western Asia",NA,1985,"lower bound (80% UI)",TRUE,"mmr",161
"South-eastern Asia",NA,1985,"lower bound (80% UI)",TRUE,"mmr",368
"Eastern Asia",NA,1985,"lower bound (80% UI)",TRUE,"mmr",97
"Oceania",NA,1985,"lower bound (80% UI)",TRUE,"mmr",261
"World",NA,1985,"lower bound (80% UI)",FALSE,"mmr",402.243748539916
"Southern Asia",NA,1985,"lower bound (80% UI)",FALSE,"mmr",521.345246443157
"Other",NA,1985,"lower bound (80% UI)",FALSE,"mmr",30.4440387270849
"Northern Africa",NA,1985,"lower bound (80% UI)",FALSE,"mmr",189.281979298737
"Sub-Saharan Africa",NA,1985,"lower bound (80% UI)",FALSE,"mmr",960.844085674471
"Latin America",NA,1985,"lower bound (80% UI)",FALSE,"mmr",139.847043615826
"Caucasus and Central Asia",NA,1985,"lower bound (80% UI)",FALSE,"mmr",83.8879885530041
"Caribbean",NA,1985,"lower bound (80% UI)",FALSE,"mmr",254.021413085696
"Western Asia",NA,1985,"lower bound (80% UI)",FALSE,"mmr",160.706833187257
"South-eastern Asia",NA,1985,"lower bound (80% UI)",FALSE,"mmr",367.706682693048
"Eastern Asia",NA,1985,"lower bound (80% UI)",FALSE,"mmr",97.0568858207845
"Oceania",NA,1985,"lower bound (80% UI)",FALSE,"mmr",260.674942777139
"World",NA,1985,"lower bound (80% UI)",TRUE,"mmr",402
"Southern Asia",NA,1985,"lower bound (80% UI)",TRUE,"mmr",521
"Other",NA,1985,"lower bound (80% UI)",TRUE,"mmr",30
"Northern Africa",NA,1985,"lower bound (80% UI)",TRUE,"mmr",189
"Sub-Saharan Africa",NA,1985,"lower bound (80% UI)",TRUE,"mmr",961
"Latin America",NA,1985,"lower bound (80% UI)",TRUE,"mmr",140
"Caucasus and Central Asia",NA,1985,"lower bound (80% UI)",TRUE,"mmr",84
"Caribbean",NA,1985,"lower bound (80% UI)",TRUE,"mmr",254
"Western Asia",NA,1985,"lower bound (80% UI)",TRUE,"mmr",161
"South-eastern Asia",NA,1985,"lower bound (80% UI)",TRUE,"mmr",368
"Eastern Asia",NA,1985,"lower bound (80% UI)",TRUE,"mmr",97
"Oceania",NA,1985,"lower bound (80% UI)",TRUE,"mmr",261
"World",NA,1985,"lower bound (80% UI)",FALSE,"matdeaths",542492.097304085
"Southern Asia",NA,1985,"lower bound (80% UI)",FALSE,"matdeaths",199354.242332946
"Other",NA,1985,"lower bound (80% UI)",FALSE,"matdeaths",4856.3606009324
"Northern Africa",NA,1985,"lower bound (80% UI)",FALSE,"matdeaths",7376.91497150657
"Sub-Saharan Africa",NA,1985,"lower bound (80% UI)",FALSE,"matdeaths",194670.326669743
"Latin America",NA,1985,"lower bound (80% UI)",FALSE,"matdeaths",15534.0627654501
