"","Lower bound (80% UI)","Point estimate","Upper bound (80% UI)"
"World",1.65924518395962,2.31209140929301,2.66887041244586
"Southern Asia",3.51735743592789,4.46769844467088,5.2321321062226
"Other",2.11858454804771,2.62546218042062,3.03073056421092
"Northern Africa",2.41735954593898,3.56974780939617,4.47958896488063
"Sub-Saharan Africa",1.56812116623162,2.36374903835426,2.81872274472069
"Latin America",2.47183011898302,2.9199145410554,3.25244189596536
"Caucasus and Central Asia",1.69352566639431,2.95363718065963,3.80098399889913
"Caribbean",-0.0372777772585211,1.82535197000112,3.0831995614277
"Western Asia",0.824227547563854,2.24838078252593,3.4043814268665
"South-eastern Asia",3.11656580605525,4.26534520777105,4.98778414506121
"Eastern Asia",3.96302634084819,4.95340940324895,5.98098080604957
"Oceania",1.12679780988357,2.96565594911426,4.8555632556983
